


# --------- Event wise evaluation ---------
		Speech	Dog	Cat	Alarm_	Dishes	Frying	Blende	Runnin	Vacuum	Electr
thres:     	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
tp:        	0	1	0	1	0	0	0	0	0	0
fn:        	1	1	1	0	1	1	1	1	2	1
fp:        	0	3	0	4	0	0	0	0	0	0
tn:        	6	2	6	2	6	6	6	6	5	6
precision: 	0.000	0.250	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000
recall:    	0.000	0.500	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
f_value:   	0.000	0.333	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000
eer:       	0.500	0.500	0.500	0.333	0.500	0.500	0.545	0.500	0.500	0.500
auc:       	0.500	0.600	0.500	0.667	0.500	0.500	0.417	0.500	0.500	0.500

mean precision:	0.045
mean recall:	0.150
mean f_value:	0.067
mean eer:  	0.488
mean auc:  	0.518

# --------- Total evaluation (Mix all events together) ---------
total tp:      	2
total fn:      	6
total fp:      	7
total tn:      	55

total precision: 	0.222
total recall:    	0.250
total f_value:   	0.235
